participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s
P6,Baseline,direct,t2,0.09251,collision,vha,520.0,,520.34,,0.34,340.1,stop,,False,11.7716
P7,Adaptive,direct,t1,0.11114,collision,vha,219.0,,219.193,,0.193,193.4,stop,,False,12.3307
P7,Adaptive,direct,t4,0.06399,collision,vha,326.0,,327.773,,1.773,1772.7,run_back,,False,9.836
P7,Adaptive,direct,t2,0.01764,collision,f,433.399,,435.585,,2.186,2185.8,stop,,False,6.8428
P7,Adaptive,direct,t5,0.01969,collision,f,505.357,,506.103,,0.746,746.3,run,,False,7.7284
P7,Adaptive,direct,t3,0.00922,collision,f,544.398,,545.298,,0.901,900.5,run,,False,8.6627
P7,Baseline,direct,t5,0.07782,collision,vha,19.0,,20.296,,1.296,1295.6,stop,,False,10.646
P7,Baseline,direct,t1,0.08752,collision,vha,146.0,,151.867,,5.867,5867.4,stop,,False,6.1965
P7,Baseline,direct,t2,0.0812,collision,vha,251.0,,256.012,,5.012,5011.7,gaze_side,,False,8.903
P7,Baseline,direct,t3,0.0885,collision,vha,320.0,,323.864,,3.864,3863.8,run_back,,False,7.0704
P7,Baseline,direct,t4,0.12429,collision,vha,355.0,,356.757,,1.757,1756.7,run,,False,8.4749
P8,Adaptive,direct,t5,0.20395,collision,vha,25.0,,25.959,,0.959,959.5,stop,,False,14.9116
P8,Adaptive,direct,t3,0.20691,collision,vha,122.0,,122.59,,0.59,590.1,run,,False,9.1679
P8,Adaptive,direct,t2,0.1671,collision,vha,324.0,,325.161,,1.161,1160.7,stop,,False,6.3522
P8,Adaptive,direct,t4,0.11534,collision,vha,409.0,,409.345,,0.345,345.4,stop,,False,6.767
P8,Adaptive,direct,t1,0.11776,collision,vha,518.0,,519.556,,1.556,1556.4,stop,,False,7.0043
P8,Baseline,direct,t2,0.16684,collision,vha,155.0,,156.141,,1.141,1140.8,stop,,False,20.1975
P8,Baseline,direct,t1,0.18833,collision,vha,257.0,,259.089,,2.089,2088.9,stop,,False,10.5195
P8,Baseline,direct,t3,0.16317,collision,vha,423.0,,423.539,,0.539,539.0,gaze_up,,False,10.0899
P8,Baseline,direct,t4,0.23133,collision,vha,568.0,,568.267,,0.267,267.0,stop,,False,7.7657
P8,Baseline,direct,t5,0.25632,collision,vha,715.0,,715.431,,0.431,431.1,stop,,False,9.4966
P9,Adaptive,direct,t5,0.01467,collision,f,31.316,,31.568,,0.252,252.3,run_back,,False,11.0538
P9,Adaptive,direct,t2,0.18999,collision,vha,328.0,,328.583,,0.583,582.9,stop,,False,10.7614
P9,Adaptive,direct,t3,0.05809,collision,vha,394.0,,396.453,,2.453,2452.9,run,,False,7.2501
P9,Adaptive,direct,t4,0.15438,collision,vha,564.0,,566.728,,2.728,2727.9,run,,False,9.1545
P9,Adaptive,direct,t1,0.13299,collision,vha,615.0,,617.364,,2.364,2363.8,run,,False,7.1561
P9,Baseline,direct,t3,0.18462,collision,vha,42.0,,44.722,,2.722,2722.2,gaze_up,,False,8.1468
P9,Baseline,direct,t5,0.19863,collision,vha,223.0,,224.981,,1.981,1981.2,gaze_side,,False,9.6785
P9,Baseline,direct,t1,0.20657,collision,vha,347.0,,348.819,,1.819,1819.5,run,,False,8.3134
P9,Baseline,direct,t4,0.15379,collision,vha,434.0,,436.526,,2.526,2525.7,run,,False,11.4166
P9,Baseline,direct,t2,0.26321,collision,vha,495.0,,496.256,,1.256,1255.6,gaze_side,,False,12.1901
P10,Adaptive,direct,t4,0.0,collision,vha_fallback,35.0,,35.167,,0.167,166.7,run,found_on_retry_vha_fallback,False,6.5894
P10,Adaptive,direct,t1,,collision,vha,155.0,,159.2,,4.2,4200.0,gaze_up,,False,7.8185
P10,Adaptive,direct,t5,,collision,vha,202.0,,206.0,,4.0,4000.0,gaze_up,,False,10.6663
P10,Adaptive,direct,t2,,collision,vha,242.0,,243.833,,1.833,1833.3,gaze_side,,False,9.5191
P10,Adaptive,direct,t3,,collision,vha,362.0,,363.1,,1.1,1100.0,gaze_side,,False,8.6426
P10,Baseline,direct,t3,0.01215,collision,vha,152.0,,152.167,,0.167,166.7,run,,False,9.2118
P10,Baseline,direct,t1,,collision,vha,239.0,,239.167,,0.167,166.7,gaze_side,,False,7.3371
P10,Baseline,direct,t5,,collision,vha,365.0,,369.1,,4.1,4100.0,gaze_side,,False,7.5969
P10,Baseline,direct,t2,,collision,vha,457.0,,458.767,,1.767,1766.7,gaze_up,,False,8.4506
P10,Baseline,direct,t4,,collision,vha,505.0,,505.267,,0.267,266.7,gaze_side,,False,9.654
P11,Adaptive,direct,t1,0.05218,collision,vha,92.0,,94.787,,2.787,2786.9,stop,,False,15.3671
P11,Adaptive,direct,t4,0.0963,collision,vha,281.0,,281.327,,0.327,326.8,stop,,False,7.9978
P11,Adaptive,direct,t3,0.09608,collision,vha,401.0,,401.453,,0.453,452.5,run,,False,7.4885
P11,Adaptive,direct,t5,0.12129,collision,vha,479.0,,479.169,,0.169,169.1,run,,False,6.9165
P11,Adaptive,direct,t2,0.01225,collision,vha,571.0,,571.589,,0.589,588.9,run,,False,7.2095
P11,Baseline,direct,t4,0.00944,collision,vha,132.0,,132.85,,0.85,850.4,run,,False,8.5608
P11,Baseline,direct,t2,0.05982,collision,vha,402.0,,402.151,,0.151,150.6,run,,False,8.7525
P11,Baseline,direct,t1,0.06119,collision,vha,498.0,,499.005,,1.005,1005.4,run,,False,9.4102
P11,Baseline,direct,t5,0.11093,collision,vha,536.0,,536.168,,0.168,167.5,gaze_up,,False,8.8592
P11,Baseline,direct,t3,0.08794,collision,vha,572.0,,572.196,,0.196,196.4,run,,False,8.4938
P12,Adaptive,absolute,t1,0.10698,collision,vha,20.768,,20.923,,0.155,155.3,run,,False,9.5122
P12,Adaptive,absolute,t5,0.09556,collision,vha,114.789,,114.942,,0.154,153.5,run,,False,13.8201
P12,Adaptive,absolute,t2,0.08627,collision,vha,225.986,,226.375,,0.389,389.2,run,,False,11.9889
P12,Adaptive,absolute,t4,0.0414,collision,vha,376.596,,376.746,,0.15,150.2,run,,False,7.8032
P12,Adaptive,absolute,t3,0.05356,collision,vha,444.355,,444.528,,0.174,173.6,run,,False,9.2624
