PID,Mode,Run,Logged_Outcome,Actual_Outcome,Gaze_general,Alarm_reaction,Stopped_at_Alarm,Gaze_alarm,Note
8,a,t3,collision,collision,phone,mild,vha,both,had phone after f down (plus got faster) and stopped right in collision zone
8,a,t4,collision,response_stop,phone,mild,vha,both,slowed down after f
8,a,t5,collision,response_stop,phone,mild,vha,f,did not look at traffic
8,a,c1,safe_stop,safe_stop,phone,none,no,no,does notice catch during
8,a,c2,safe_stop,safe_stop,phone,none,no,no,redid (timing error -> walked too early) and ignored f completely
8,a,s1,safe_turn,safe_turn,phone,none,no,no,does not look up
8,a,s2,safe_turn,safe_turn,phone,none,no,no,does not look up
8,b,t1,collision,collision,phone,mild,no,vha,looked up to the front but did not stop
8,b,t2,collision,collision,phone,none,no,no,stops for a second after VHA but then continues as before
8,b,t3,collision,collision,phone,mild,no,vha,looked up to the front
8,b,t4,collision,collision,phone,mild,vha,no,looked up to the front before the alarm and stopped in the danger zone
8,b,t5,collision,collision,phone,mild,no,vha,looks up to the front and slowed down
8,b,c1,safe_stop,safe_stop,phone,none,no,no,did not look up at all
8,b,c2,safe_stop,safe_stop,phone,none,no,no,very into chatting -> was walking wavy lines
8,b,s1,safe_turn,safe_turn,phone,none,no,no,
8,b,s2,safe_turn,safe_turn,phone,none,no,no,looked to the left before starting to cross
9,a,t1,collision,not_in_time,traffic,none,no,no,redid (walked slightly too fast for both)
9,a,t2,collision,collision,phone,mild,no,both,continued walking while looking up after f
9,a,t3,collision,response_run,both,mild,no,both,
9,a,t4,collision,not_in_time,traffic,none,no,both,alarm and car too late + redid (timing error due waiting for ambient)
9,a,t5,collision,response_stop,phone,strong,both,both,stops close to danger zone
9,a,c1,safe_stop,safe_stop,both,mild,f,f,continues to walk after a short stop at f
9,a,c2,safe_stop,safe_stop,phone,mild,f,f,stops again after sees car
9,a,s1,safe_turn,safe_turn,both,none,no,no,waits for ambient to cross & from midpoint on looks at phone
9,a,s2,safe_turn,safe_turn,both,none,no,no,from midpoint on looks at phone
9,b,t1,collision,response_continue_walk,both,mild,no,vha,
9,b,t2,collision,response_continue_walk,both,mild,no,vha,redid (but both times alarm in danger zone)
9,b,t3,collision,response_continue_walk,both,mild,no,vha,alarm in danger zone (a bit late)
9,b,t4,collision,response_continue_walk,phone,mild,no,vha,redid twice (timing error -> started too early and too fast)
9,b,t5,collision,response_continue_walk,phone,mild,no,vha,
9,b,c1,safe_stop,safe_stop,phone,none,no,no,catch arrived when already on other side
9,b,c2,safe_stop,safe_stop,both,none,no,no,
9,b,s1,safe_turn,safe_turn,phone,none,no,no,midways looked up once
9,b,s2,safe_turn,safe_turn,phone,none,no,no,
10,a,t1,collision,response_stop,phone,mild,vha,vha,no reaction to f
10,a,t2,collision,response_stop,phone,mild,vha,vha,no reaction to f
10,a,t3,collision,response_stop,phone,mild,vha,vha,no reaction to f
10,a,t4,collision,response_stop,phone,mild,both,both,stopped for f and continued
10,a,t5,collision,response_stop,phone,mild,vha,vha,no reaction to f
10,a,c1,safe_stop,safe_stop,phone,none,no,no,does not look up and see car
10,a,c2,safe_stop,safe_stop,phone,mild,no,f,
10,a,s1,safe_turn,safe_turn,phone,none,no,no,only glances at beginning at traffic
10,a,s2,safe_turn,safe_turn,phone,none,no,no,does not look up
10,b,t1,collision,response_stop,phone,mild,vha,vha,
10,b,t2,collision,response_stop,phone,mild,vha,vha,
10,b,t3,collision,response_stop,phone,strong,vha,vha,looks up front/confused and then at traffic
10,b,t4,collision,response_stop,phone,mild,vha,vha,redid (timing error -> got faster)
10,b,t5,collision,response_stop,phone,mild,vha,vha,
10,b,c1,safe_stop,safe_stop,phone,none,no,no,does not look up
10,b,c2,safe_stop,safe_stop,phone,none,no,no,does not look up
10,b,s1,safe_turn,safe_turn,phone,none,no,no,does not look up
10,b,s2,safe_turn,safe_turn,phone,none,no,no,does not look up
11,a,t1,collision,response_stop,phone,jumped,vha,both,jumped at f saw nothing and continued to waslk till saw car and VHA and jumped again
11,a,t2,collision,response_run,phone,strong,no,vha,stopped for ambient on street
