participant_id,condition,sync_mode,trial_id,heading_norm,outcome,warning_type,alarm_video_s,alarm_video_mmss,reaction_video_s,reaction_video_mmss,rt_s,rt_ms,reaction_type,notes,qc_mismatch,alarm_sim_s,ttc_at_actual_response,ttc_lookup_status,Walker_speed,Walking_style
P9,Baseline,direct,t4,0.15379,collision,vha,434.0,,436.526,,2.526,2525.7,run,,False,11.4166,0.629,ok,fast,dynamic
P9,Baseline,direct,t2,0.26321,collision,vha,495.0,,496.256,,1.256,1255.6,gaze_side,,False,12.1901,1.667,ok,fast,dynamic
P10,Adaptive,direct,t4,0.0,collision,vha_fallback,35.0,,35.167,,0.167,166.7,run,found_on_retry_vha_fallback,False,6.5894,4.951,ok,slow,constant
P10,Adaptive,direct,t1,,collision,vha,155.0,,159.2,,4.2,4200.0,gaze_up,,False,7.8185,,no_frame_within_0.5s (closest=1.50s away),slow,constant
P10,Adaptive,direct,t5,,collision,vha,202.0,,206.0,,4.0,4000.0,gaze_up,,False,10.6663,,no_frame_within_0.5s (closest=1.24s away),slow,constant
P10,Adaptive,direct,t2,,collision,vha,242.0,,243.833,,1.833,1833.3,gaze_side,,False,9.5191,0.769,ok,slow,constant
P10,Adaptive,direct,t3,,collision,vha,362.0,,363.1,,1.1,1100.0,gaze_side,,False,8.6426,1.512,ok,slow,constant
P10,Baseline,direct,t3,0.01215,collision,vha,152.0,,152.167,,0.167,166.7,run,,False,9.2118,2.34,ok,slow,constant
P10,Baseline,direct,t1,,collision,vha,239.0,,239.167,,0.167,166.7,gaze_side,,False,7.3371,2.383,ok,slow,constant
P10,Baseline,direct,t5,,collision,vha,365.0,,369.1,,4.1,4100.0,gaze_side,,False,7.5969,,no_frame_within_0.5s (closest=1.42s away),slow,constant
P10,Baseline,direct,t2,,collision,vha,457.0,,458.767,,1.767,1766.7,gaze_up,,False,8.4506,0.803,ok,slow,constant
P10,Baseline,direct,t4,,collision,vha,505.0,,505.267,,0.267,266.7,gaze_side,,False,9.654,2.274,ok,slow,constant
P11,Adaptive,direct,t1,0.05218,collision,vha,92.0,,94.787,,2.787,2786.9,stop,,False,15.3671,0.369,ok,normal,constant
P11,Adaptive,direct,t4,0.0963,collision,vha,281.0,,281.327,,0.327,326.8,stop,,False,7.9978,2.258,ok,normal,constant
P11,Adaptive,direct,t3,0.09608,collision,vha,401.0,,401.453,,0.453,452.5,run,,False,7.4885,2.192,ok,normal,constant
P11,Adaptive,direct,t5,0.12129,collision,vha,479.0,,479.169,,0.169,169.1,run,,False,6.9165,2.417,ok,normal,constant
P11,Adaptive,direct,t2,0.01225,collision,vha,571.0,,571.589,,0.589,588.9,run,,False,7.2095,2.117,ok,normal,constant
